Exercise Name,Split Category - Push / Pull / Legs,Split Category - Upper / Lower,Split Category - Bro Split,Plane of Motion,Planar movement,Movement Category,Equipment Type / Area,Body Position,Bilateral / Unilateral,Simultaneous / Alternating,Grip / Attachment Type,Weight Type,Primary Muscle Group,Additional Primary Muscle Group
Neutral-grip Pull-up,Pull,Upper,Back,Frontal,Adduction,Vertical Pull,Rack,Hanging,Bilateral,Simultaneous,Neutral,Bodyweight,Lats,Mid-Back
Chin-up / Supinated Pull-up,Pull,Upper,Back,Frontal,Adduction,Vertical Pull,Rack,Hanging,Bilateral,Simultaneous,Supinated,Bodyweight,Lats,Mid-Back
Single-Arm Preacher Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Bench,Seated,Unilateral,Alternating,Supinated,Dumbbell,Biceps,
Single-Arm Hammer Preacher Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Bench,Seated,Unilateral,Alternating,Neutral,Dumbbell,Biceps,
Incline DB Y-Raise,Push,Upper,Shoulders,Frontal,Abduction,Shoulder Abduction,Bench,Incline,Bilateral,Simultaneous,Pronated,Dumbbell,Shoulders,
Cable Y-Raise,Push,Upper,Shoulders,Frontal,Abduction,Shoulder Abduction,Machine - Pin-loaded,Standing,Unilateral,Alternating,Pronated,Stack,Shoulders,
Kelso Shrug - Incline DB,Pull,Upper,Back,Sagittal,Extension,Shoulder Extension,Bench,Prone,Bilateral,Simultaneous,Pronated,Dumbbell,Mid-Back,
Kelso Shrug - Seated Cable,Pull,Upper,Back,Sagittal,Extension,Shoulder Extension,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Pronated,Stack,Mid-Back,
Kelso Shrug - T-Bar,Pull,Upper,Back,Sagittal,Extension,Shoulder Extension,Machine - Plate-loaded,Prone,Bilateral,Simultaneous,Pronated,Plate,Mid-Back,
Sissy Squat,Legs,Lower,Legs,Sagittal,Flexion,Squat,Free Area,Standing,Bilateral,Simultaneous,No Grip,Bodyweight,Quads,
BB Shrug,Pull,Upper,Shoulders,Frontal,Elevation,Shrug,Rack,Standing,Bilateral,Simultaneous,Pronated,Barbell,Mid-Back,
DB Shrug,Pull,Upper,Shoulders,Frontal,Elevation,Shrug,Free Area,Standing,Bilateral,Simultaneous,Neutral,Dumbbell,Mid-Back,
Machine Shrug,Pull,Upper,Shoulders,Frontal,Elevation,Shrug,Machine - Plate-loaded,Standing,Bilateral,Simultaneous,Neutral,Plate,Mid-Back,
Cable Shrug,Pull,Upper,Shoulders,Frontal,Elevation,Shrug,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Pronated,Stack,Mid-Back,
Zottman Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Free Area,Standing,Bilateral,Simultaneous,Mix,Dumbbell,Biceps,
DB Wrist Curl,Pull,Upper,Arms,Sagittal,Flexion,Wrist Curl,Bench,Seated,Bilateral,Simultaneous,Supinated,Dumbbell,Forearms,
Cable Wrist Curl,Pull,Upper,Arms,Sagittal,Flexion,Wrist Curl,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Supinated,Stack,Forearms,
DB Wrist Extension,Pull,Upper,Arms,Sagittal,Extension,Wrist Extension,Bench,Seated,Bilateral,Simultaneous,Pronated,Dumbbell,Forearms,
Cable Wrist Extension,Pull,Upper,Arms,Sagittal,Extension,Wrist Extension,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Pronated,Stack,Forearms,
